,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
159,San Andrés,3670218,100,CO,1659469803,94,12.5847,-81.7006,78.82,11.5
160,Kavaratti,1267390,100,IN,1659469803,83,10.5669,72.642,78.26,29.19
161,Maun,933366,0,BW,1659469803,45,-19.9833,23.4167,64.36,8.05
162,Belturbet,2966201,100,IE,1659469804,81,54.1,-7.45,61.41,11.65
163,Alagir,802078,0,RU,1659469804,69,43.0422,44.2222,68.54,5.03
164,Lebyazh'ye,1500764,14,RU,1659469805,79,55.2689,66.4947,56.57,7.67
165,Dikson,1507390,78,RU,1659469805,86,73.5069,80.5464,42.85,5.19
166,Dédougou,2361477,100,BF,1659469805,71,12.4667,-3.4667,79.38,6.87
167,Château-Gontier,3026273,7,FR,1659469806,39,47.8333,-0.7,84.92,2.1
168,Port Alfred,964432,71,ZA,1659469806,57,-33.5906,26.891,65.61,7.54
169,Havre-St-Pierre,5972291,100,CA,1659469806,77,50.2334,-63.5986,68.36,10.36
170,Gazojak,1514792,14,TM,1659469806,28,41.1875,61.4036,82.94,11.25
171,Chui,3443061,29,UY,1659469807,90,-33.6971,-53.4616,58.57,7.18
172,Ostrovnoy,556268,2,RU,1659469807,91,68.0531,39.5131,55.42,10.87
173,San Juan,3837213,0,AR,1659469513,31,-31.5375,-68.5364,64.29,16.28
174,Cherdyn',569359,100,RU,1659469807,78,60.403,56.4787,55.83,2.35
175,Żurrieq,2562250,0,MT,1659469808,74,35.8311,14.4742,80.96,5.75
176,Hithadhoo,1282256,59,MV,1659469550,75,-0.6,73.0833,80.44,11.32
177,Hervey Bay,2146219,12,AU,1659469808,93,-25.2986,152.8535,57.02,5.99
178,Kisangani,212730,72,CD,1659469808,78,0.5167,25.2,73.72,1.32
179,Kapaa,5848280,20,US,1659469809,69,22.0752,-159.319,80.92,11.5
180,Alofi,4036284,64,NU,1659469809,88,-19.0595,-169.9187,75.09,8.05
181,Puerto Madryn,3840092,0,AR,1659469809,43,-42.7692,-65.0385,50.9,13.0
